Name,Author,CatID,PubID,TitleID,PlaceID,Pages,Press,Parts,Notes
مؤامرة ضد الاسلام في مصر,,168,NULL,NULL,NULL,112,,NULL,
"مؤتمر التنظيمات الاهلية العربية "" مشاركة، عطاء، انماء""",مؤتمر التنظيمات الاهلية العربية - القاهرة,55,NULL,NULL,NULL,763,,NULL,
في الحرب - الجزء الاول,كارل فون كلاوزفيتز - تعريب اكرم ديري,86,6,NULL,NULL,362,,3,
التربية المكتبية,مدحت كاظم - احمد نجيب,178,140,NULL,NULL,167,,NULL,
تفسير الجلالين,جلال الدين محمد بن احمد بن محمد المحلي وجلال الدين عبدالربن بن ابي بكر السيوطي,NULL,408,NULL,NULL,NULL,,NULL,
مقدمة الاحصاء,د. راشد علي اضبيه - د. عادل السنباطي,71,995,NULL,NULL,276,الاولى,NULL,
الشيعة في المملكة العربية السعودية - الجزء الاول,حمزة الحسن,36,1072,NULL,NULL,429,الاولى,NULL,
التنمية البشرية في دول الخليج العربية ودور التربية في العمل من اجلها,مكتب التربية العربي لدول الخليج,181,1089,NULL,NULL,177,,NULL,
توجيه الطفل المتفوق عقليا - مرجع علمي للاباء والمعلمين,جيمس ت. ويب - اليزابيث ميكستروث - سيفاني تولان,68,1090,NULL,NULL,205,,NULL,
واقع رياض الاطفال في الاردن,د. احمد سليمان عودة - د. محمد حسن فريحات - د. محمد ابراهيم حسن,68,1090,NULL,NULL,96,,NULL,
التجديد التربوي مشكلات الواقع وتحديات المستقبل,جمعية المعلمين الكويتية,186,1103,NULL,NULL,283,,NULL,
حلقات النقاش - نظام المقررات - تقويم قبل التعميم,جمعية المعلمين الكويتية,71,1103,NULL,NULL,NULL,,NULL,البحوث المشاركة
المستقبل الثقافي للعالم الاسلامي من خلال واقعه المعاصر,المنظمة الاسلامية للتربية والعلوم والثقافة,181,1111,NULL,NULL,305,,NULL,
من هنا ننطلق,لجنة العمل الاجتماعي,45,1124,NULL,NULL,183,,NULL,
قضايا التنمية العربية,د. محمد الصقور - د. صالح ذياب هندي - رجب علي الشناوي,NULL,555,NULL,5,151,الاولى,NULL,
المنهاج التربوي بين الاصالة والمعاصرة,د. اسحاق احمد فرحان - د. توفيق مرعي - احمد بلقيس,68,1116,NULL,5,332,الاولى,NULL,
